alak (pasas,forma)
belépő (csatlakozó,belépődíj)
csőd (katasztrófa,kudarc,fizetésképtelenség)
díj (kitüntetés,jutalom,fizetség)
fenntartás (kétely,üzemeltetés)
fül (hallás,érzék,fogó,hallószerv)
gazda (tulajdonos,úr,felelős,gazdálkodó)
gyakorlat (próba,tapasztalat)
gyümölcs (eredmény,termés,ennivaló)
helyzet (pozíció, szituáció)
hitel (hitelesség,kölcsön)
hivatal (funkció,intézmény)
hozzájárulás (adomány,engedély)
hó (hónap,csapadék)
hüvely (vagina,tok,héj)
jelentés (beszámoló,értelem)
karakter (jellem,tulajdonság,betű)
kilátás (panoráma,fejlemény)
kép (fotó,festmény,ábrázolás)
lap (papír,újság)
lehetőség (eshetőség,alkalom)
oldal (fél,lap,rész)
paradicsom (édenkert,zöldség)
pofa (arc,fej,pasas)
szellem (szellemiség,kísértet)
szervezet (csoport,organizmus)
súly (fontosság,tömeg)
tanács (javaslat,bizottság)
természet (karakter,környezet)
tárgy (téma,dolog)
tétel (elem,állítás)
utalás (célzás,átutalás)
villa (evőeszköz,ház)
váltó (csapatverseny,kapcsoló)
állás (helyzet,eredmény,munka)
