Ott már található közlés afelõl, hogy mennyivel legyen hosszabb a felöltözött 	alak 	a ruhátlannál - tüzetesen: egy negyed egységet kell " hozzáadni " a drapériához ( redõzethez ), mi az egység harmóniáját van hivatva növelni.
2.	Egy ízben apám egyik régi barátja az Avas környéki ellenállás idejébõl, szinte olvashatatlan 	alakban 	apám után a maga nevét odakörmölte, mire a levél hátlapján figyelmeztetés díszlett: máskor ilyen esetben nem kapom meg a levelet.
3.	A borongós kedvû jövevény, mivel hamar megfeledkeztek róla, szembekötõsdit játszó 	alakokba 	botlott egy tisztáson.
4.	Közben már különféle 	alakok 	ékelõdtek közéjük.
5.	Mozdulásomra a léptek elhaltak, az 	alakot 	elnyelte a sötét.
6.	A csap csöpögött, és õk csak anyát nézték, ahogy összefont karral hajlong valami láthatatlan 	alak 	elõtt.
7.	A vallatószékben ült, szorosra fésült frizurával, vastag moherpulóverben, skót kockás szoknyában, 	alakja 	elvesztette a formát, de a gyapjú kövérebbnek, szilárdabbnak mutatta.
8.	Visszataszítóan szõrös volt a lába, de 	alakjára 	és lágy arcvonásaira nem lehetett panasz.
9.	Zsakettet viselt, 	alakját 	ez nyúlánkká tette, majdnem szálfa termetûvé ott, egymagában, a kocsi tetején.
10.	Nem olyan ájtatos 	alak 	ez.
35.	- Furcsa egy 	alak 	- csóválta fejét Vigyori.
50.	- Bolond, aki meleg vacsorával vár egy magafajta megbízhatatlan 	alakot 	! - jelentette ki, aztán, egy-két perces irtózatos konyhai csörömpölés után elém lökött valamit...
