Az idézett viszonyszám jövõre vonatkozó felvett értékei - fogalmazott Hegedûs Éva - nagymértékben függnek attól, hogy a forgatókönyv milyen feltételezésekkel él az egyes változatokra, így az EU, valamint hazánk átlagos GDP-növekedésére, hogyan hathat az EU bõvítésének különbözõ idõpontjai és a 	belépõk 	köre.
A sportcsarnokban 2100 számozott jegyet adnak el, a két napra szóló 	belépõk 	200 és 300 forintba kerülnek, elõbbiek a lelátóra, utóbbiak a küzdõtérre szólnak.
A találkozókat a helyszínen háromezer nézõ láthatja, a 	belépõk 	3600 forintba kerülnek.
Ez a 	belépõknél 	a mezõgazdasági termelés felíveléséhez, a régieknél pedig miniválsághoz is vezethet.
Ameny-nyiben a 	belépõk 	a mostanság tapasztalható ütemben fogynak - az úgynevezett ezüst - és bronztribünre például jóformán az öszszes jegyet lekötötték -, s a gyakorlatilag már elkészült újabb tízezer helyet is sikerül értékesíteni, akkor hozzávetõleg egymilliárd forint folyhat be a kasszába, azaz a verseny nullszaldós
Nem olcsó mulatság tehát a bálozás, mindent összevetve három báli 	belépõ 	árát is felemésztheti ünnepi toalettünk.
Például a tévéközvetítések esetében, az MTV1 ugyanis egy órát élõben, újabb egyet pedig csúsztatva sugároz a versenyrõl, s ez bizony jó 	belépõnek 	bizonyult a szponzori tárgyalások során is.
Állandó parlamenti 	belépõt 	biztosított Perlakinak, de késõbb jelezték neki, hogy a férfi az õ megbízottjaként " kicsit erõszakosan kért találkozót Mádl Ferenctõl ".
A 	belépõt 	egy magas, nyers pult fogadja, ahol a blazírt, de különben kedves pincér villámgyorsan ismerteti vele a szabályokat: kiszolgálás nincs.
A viták során ismételten felszólaló Ion Ratiu aláhúzta Románia szilárd elhatározását, hogy a NATO teljes jogú tagja legyen, és meggyõzõdését fejezte ki, hogy hazánk a 	belépõk 	elsõ hullámában lesz.
Csehországnak erõfeszítéseket kell tennie, hogy ne maradjon ki a sorból - mondta a német kancellár külpolitikai tanácsadója, de hozzátette: bízik abban, hogy az Európai Uniós csatlakozásnál Csehország a 	belépõk 	elsõ körében marad.
A 	belépõ 	remekül sikerült, Marianna önkéntelenül megsimogatta a kopaszodó Mester hosszú szálú, szürke, gubancos haját.

