A már folyóperben, melyet 19 állam és az Igazságügyi Minisztérium indított a cég ellen, mindkét 	oldal 	12 tanút vonultatott fel eddig.
A NATO vezetõinek felvetésére Szarajevóban csak a boszniai 	oldal 	válaszolt igennel annak ellenére, hogy a szerbek és horvátok nemet mondtak - jelenti ki a Boszniai Szerb Köztársaság védelmi minisztere Banja Lukában egy független újságnak.
Azt kértem az ukrán államelnöktõl és a miniszterelnöktõl, hogy jelöljenek ki közvetlenül nekik felelõs személyeket - ezt én is megteszem idehaza - akiknek az lesz a dolguk, hogy egy speciális, a határ mindkét 	oldalát 	érintõ gazdasági fejlesztési tervet dolgozzanak ki, amit aztán a két kormány jóváhagyhat.
Tilos a megállás és a várakozás: augusztus 25-én 24 órától 26-án 6 óráig a Felvonulási téren, a Dózsa György út mindkét 	oldalán 	, az Ajtósi Dürer sor és az Andrássy út között.
A Pest Megyei Önkormányzat azonban még mindig csak a tetszetõsnek még jó szándékkal sem nevezhetõ 	oldalait 	tartja fenn, többnyire aktuális, fontos információk nélkül.
Egy oldalnak 1500 karaktert számolnak, tehát 120 ezer leütés 80 	oldalt 	tesz ki.
Folytatás a Belföld 	oldalon
Mikor a másik 	oldalon 	egy csapat srác megy épp, olyan albérletben lakó, gyanús alakok, a laticelizmus-vodkaizmus elszánt harcosai?
Osiris Kiadó, Budapest, 1998, 294 	oldal 	, 1280 forint
Más-más 	oldalukkal 	támaszkodnak a képek az éghez, a hasonlítotthoz, az egyik a színével, a másik a pehelyhullás akciójával.
Én csak a képeket szerettem nézegetni bennük, a tizedik, tizenkettedik 	oldalnál 	tovább nem jutottam.
