Hozzátette: továbbra is a Dunáról szóló kormányhatározat 	szellemében 	, és a legutóbbi, májusi magyar-szlovák tárgyalásokon elhatározottaknak megfelelõen dolgozik.
Állítólag az állami irányítás alatt lévõ médiumokat is meglepte az a gyorsaság, amellyel a sokáig makacskodó Belgrád végül igent mondott a nemzetközi béketervre, s ezért néhány napra szükség lehet ahhoz, hogy a korábbi hagyományok 	szellemében 	a kormányzati sajtó Jugoszlávia gyõzelmévé változtassa az inkább kapitulációra hasonlító egyezséget.
Nyilvánvaló, hogy megegyezésre kellene törekedni, hiszen a médiatörvény 	szelleme 	teljesen egyértelmûen azt mondja, hogy kiegyenlítettnek kell lenni a média kuratóriumoknak.
További kihallgatói már nem voltak ilyen szabad és független 	szellemek 	; de mert a sebtében letartóztatott több száz embert idõ hiányában nem tudták mind-mind beleírni az elsõ magyar koncepciós perbe, jó néhányan, óriási szerencséjükre, " elvarratlan szálak " maradtak.
Független 	szellemének 	alkotásait mecénásaihoz szóló, undorral írt, hízelgõ ajánlólevelekkel kellett kiadnia, olyan kötelezettségeket vállalt, amelyektõl irtózott.
Ha az említett helyeken porladó õsök 	szellemei 	feltekintettek esténden magaslati tanyánkra, csodálkozva tûnõdhettek azon, melyik késõi unokának jutott eszébe és miért jeltüzeket gyújtani.
Micsoda jövendõ forrt ott, a magyar és a nemzetközi 	szellem 	milyen sistergõ keveredése.
Ez ugyanis a feltétele annak, hogy valóban megvalósuljon a médiatörvény 	szelleme 	és létrejöhessen Magyarországon Magyar Rádió, Magyar Televízió, Duna Televízió önálló, autonóm közalapítványként.
És ugyanilyen megkerülhetetlennek tekinti a kormány a kisebbség jogainak az európai normák, az európai dokumentumok 	szelleme 	és betûje szerinti elismerését, garantálását és gyakorlati érvényesülésének biztosítását, a feltételek megteremtését.
Ha csak az Isten országához tartozó szellemeket tekinted és nem veszed figyelembe a gonosz 	szellemek 	( itt nem emberek szellemére gondolok ) létezését, akkor valóban mondhatod, hogy a bûn nem valós fogalom, mert ott valóban nem létezik bûn.
Ijjjjjjjjjijjjijijij! - vijjogott a volán elõtt örömittasan a Púpos, mint egy fiatal, férfipróbára induló irokéz indián, aki a 	szellemeket 	kérleli, hogy segítsenek rajta.
