De a díszítésnél talán fontosabb, hogy a 	tanács 	által megszavazott 5 millió lej mellé, még tízmilliónyi összegyûlt a rászorulók támogatására.
Tiltakozott Eckstein-Kovács Péter, a román kormány kisebbségügyi minisztere a kolozsvári járási 	tanács 	azon terve ellen, hogy Kolozsváron emlékmûvet állítsanak Ion Antonescu marsallnak, hiszen amikor a második világháború idején Románia teljhatalmú ura volt, zsidóellenes törvényeket vezettek be, faji alapon megnyirbálták a zsidóközösséghez tartozók elemi állampolgári és szabadságjogait.
Richard Holbrooke amerikai nagykövet helyesnek tartja a Biztonsági 	Tanács 	döntését, mert Jugoszlávia ENSZ-nagykövete olyan kormányt képvisel, melynek veztõit háborús bûnökkel vádolják.
Kocsis Zoltán: A szakszervezet és a közalkalmazotti 	tanács 	eddig olyan mértékben kötötte gúzsba az elképzeléseimet, hogy csak morzsákat tudtam megvalósítani abból, amit szeretnék.
Miért ne adhatna 	tanácsot 	egy miniszter és miért ne vonhatná le a következtetést?
Ahogy a megyei tanácsosok is mondták: már csak azért is furcsa a prefektus támadása, mert õ nem egy kívülrõl jött személy, korábban, a megyei 	tanács 	elnökeként ezért a tevékenységért õ felelt, és annakidején semmi kifogása nem volt a munkánk ellen.
Fogadta a fiú szigorúan, hogy a 	tanácsot 	betartja.
Azok, akik a kérdést most a 	Tanács 	elé terjesztették, a múltban hasonló esetekben más álláspontot foglaltak el.
És megfogadok minden jó 	tanácsot.
B. fontos 	tanácsot 	bízott rám halála elõtt egy órával: " Pincében kell csinálni a krémest, mert fönt másképp lágyul meg a vaj s nem lesz olyan réteges.
De abban, hogy tenni mit lehet, abban én is 	tanácsra 	szorulok.

