A törvényjavaslat szövegébe került egy 	utalás 	arra, hogy a járóbeteg-szakellátás rendszerét is a háziorvosihoz hasonlóan kell majd privatizálni.
Költõtársam, Benjámin Laci néhány óvatos 	utalásomra 	kipirult arccal Rajkot fasiszta gyilkosnak nevezte, és kérve kért: szokott szelídségemmel ne álljak ki védõügyvédnek ilyen bandita mellé.
Diplomatikusan, nem sértõ módon, minden 	utalás 	nélkül a vallásomra, értesítettek: " Létszám betelte miatt nem volt felvehetõ ".
A versben semmi olyan 	utalás 	nincs, ami azt mutatná, hogy aki beszél, az belülrõl csakugyan gyenge mûvész volna, tehetségtelen, vagy akár csak kis tehetségû; a rossz, az elmarasztaló fordulatot a lélekjelenlét hiánya okozza!
Nos, a mostani, 1999-es nyilatkozat még csak 	utalást 	sem tesz az autonómiára.
Maga a pártelnök egyébként korábban arra sem tett egyértelmû 	utalást 	, hogy igény tart a legfõbb közjogi méltóságra.
Az ismertetés történhet elsõbbségi iratra való 	utalással 	is.
A CIB elnök-vezérigazgatója a banktitok körébe tartozó részletekrõl nem nyilatkozott, kérdésünkre annyit azonban elmondott, hogy az említett összeg Londonba 	utalásáról 	a tulajdonos cég képviselõi rendelkeztek.
Leginkább a vállalati pénzforgalom állt át szinte teljes mértékben számítógépes utalásokra.
A vizsgálat szerint az 	utalás 	benyújtott fiktív számlák ellenértékét képezte, holott a klub semmilyen szolgáltatást nem nyújtott a Caritasnak.

