A vád szerint biztosítékként esetenként fedezet nélküli 	váltót 	állított ki, máskor pedig olyan ingatlant nevezett meg, amelyik nem is az õ tulajdona volt.
Weisz Sándor, a kolozsvári Lapkiadó igazgatója hitelezett nekem 	váltóra 	annyit, amennyibõl a papírt beszerezhettük, a nyomdaszámlát kifizethettük.
Ha valaki bizonyíthatóan tudott arról, hogy valaki részegsége miatt például nem képes a rábízott vasúti 	váltót 	átállítani, és ebbõl tömegkatasztrófa lesz, az illetõ feljelentési kötelezettség elmulasztása miatt ugyancsak büntethetõ.
Nehéz volt a munka, azokat a régi 	váltókat 	csak úgy tudtuk emelgetni, hogy csákánynyelet raktunk alá, nem volt elektromosság meg mindenféle önmûködõ szerkezet, mégis mennyivel vidámabban dolgoztunk, mint a maiak.
Már a kezdés elõtt tudták, hogy közülük egynek nem jut hely a repülõn, s persze az sem mindegy, hogy egyéniben vagy " csak " 	váltóban 	emelhetik fel egy forró közép-amerikai reggelen a pisztolyt.
A tegnapi ünnepélyes megnyitó után ma a nõi 	váltóra 	kerül sor, ezt a számot nyerte meg két hete a vb-n a magyar trió.
Ráadásul az elmúlt két évben négy versenyzõje hagyta el, az olimpiai bajnok Rózsa Norbert a Honvédban edz, a vb-bronzérmes 	váltó 	két tagja, Horváth Péter és Zubor Attila Olaszországba ment, a szintén olimpiai aranyérmes Czene Attila Amerikában tanul, bár nyilatkozataik szerint õ még az olimpia elõtt visszatér régi mesteréhez.
Hiszen a bankjegy eleinte nem volt más, mint a bank által kibocsátott, a bank nevére szóló 	váltó 	, s azt a fizetési ígéretet tartalmazta, hogy a bank a bankjegy tulajdonosának aranypénzt ad.
A pálya kanyargós, sokat kell váltani, eszi a kocsikat ( fõleg a 	váltót 	), így a megbízhatóság és a strapabírás is fontos szempont lesz, ebben a Ferrari talán kicsit jobb.
Richardson tagja volt az atlantai olimpián ezüstérmet szerzett 4X400-as brit 	váltónak 	.

