Felújítás alatt a mûvész utcai 	villa.
Várhatóan 2002 nyarára egy pompás 	villa 	áll majd itt.
Novemberben pedig egy Balaton-parti 	villa 	kapcsán évekkel ezelõtt elkövetett 40 milliós áfacsalás miatt forgott a neve, a múlt héten kabátvásárlási ügybe keveredett.
A különféle házakból, telkekbõl és szállodákból álló ingatlancsomagban információink szerint volt egy spanyol kormánytag családjának tulajdonában levõ 	villa 	is.
A legutolsó hírek szerint egy félreesõ hararei 	villa 	magas fehér falai mögött él Mengisztu Hailé Mariam, Etiópia volt diktátora, aki kiérdemelte " az Afrika Sztálinja " nevet.
Lechner Ödön nevéhez fûzõdik számos század eleji 	villa 	mellett például az Iparmûvészeti Múzeum és Fõiskola, a Földtani Intézet, valamint a Postatakarékpénztár épületének terve is.
Dávidovits a 	villájával 	a kezében várta, míg én elkészülök a nyeléssel, hogy így unszoljon:
A késsel vágunk egy falatot a húsból, a villára toljuk, a 	villával 	a szánkba tesszük.
Puncus lecsapta a 	villáját 	a tányérra, és az ajtóhoz rohant.
A kocsi beállt a 	villa 	elé, de én tétova mozdulattal elküldtem az ámuló sofõrt.
Kanalakat, 	villákat 	, késeket.
